Exposure Amount ($);Credit Score;Loan Term (Months);Interest Rate (%);Income ($);Loan to Value Ratio (%);Debt to Income Ratio (%);Employment History (Years);Previous Defaults;Home Ownership;Loan Purpose;Loan Type;Region;LGD%
164021;733;24;6,22;59815;90;39;5;2;Mortgage;Home Purchase;Adjustable Rate;North;0,601380311
132554;702;24;10;80277;81;26;8;1;Mortgage;Debt Consolidation;Adjustable Rate;West;0,467047392
177713;723;60;9,28;84108;77;40;7;0;Rent;Home Purchase;Fixed Rate;East;1
72888;727;24;5,76;100488;74;22;8;2;Own;Auto Loan;Fixed Rate;West;0,467594117
87123;729;24;7,46;61471;86;10;10;2;Mortgage;Debt Consolidation;Fixed Rate;South;0,221525889
163575;725;48;5,41;107097;72;24;6;0;Mortgage;Debt Consolidation;Adjustable Rate;West;0,469576647
214511;668;36;7,65;74549;88;43;5;1;Own;Auto Loan;Adjustable Rate;North;0,644232697
137673;603;24;6,15;60759;92;28;6;2;Mortgage;Personal Loan;Fixed Rate;East;0,010001961
167124;770;48;7,44;55162;84;32;4;2;Mortgage;Debt Consolidation;Fixed Rate;East;0,855532419
98478;666;24;5,49;53383;84;35;4;0;Rent;Home Improvement;Fixed Rate;East;0,010002234
238247;685;24;6,05;75736;84;46;5;2;Own;Home Purchase;Adjustable Rate;North;0,630102373
192378;701;36;7,06;108639;83;29;8;1;Rent;Debt Consolidation;Fixed Rate;West;0,984099013
216734;652;60;4,55;100960;68;32;4;2;Rent;Auto Loan;Fixed Rate;East;0,565268947
233737;653;72;5,3;53004;66;33;4;1;Own;Auto Loan;Adjustable Rate;North;0,009998417
138156;726;36;5,76;100099;70;54;7;2;Own;Home Improvement;Fixed Rate;North;1
132215;692;24;11,62;41887;82;44;5;0;Rent;Debt Consolidation;Fixed Rate;East;0,094595923
48375;615;60;6,15;54076;66;33;3;0;Rent;Home Improvement;Adjustable Rate;North;0,010005168
127858;744;48;5,71;62131;71;32;7;0;Rent;Home Purchase;Adjustable Rate;East;0,269854057
183572;706;60;7,54;59039;77;25;6;1;Own;Personal Loan;Fixed Rate;East;0,377285207
204218;636;24;6;68573;68;37;7;0;Rent;Home Improvement;Adjustable Rate;North;0,009999119
163823;730;24;6,82;57455;100;20;3;0;Rent;Personal Loan;Adjustable Rate;East;0,009998596
144223;624;72;8,73;72872;85;41;7;0;Own;Auto Loan;Fixed Rate;South;0,557421493
199419;762;48;4,37;76831;79;37;6;2;Rent;Home Purchase;Fixed Rate;North;1
170565;703;36;3,94;60909;72;29;5;1;Rent;Personal Loan;Adjustable Rate;West;0,010002052
118650;725;72;7,44;65351;75;23;8;0;Rent;Personal Loan;Fixed Rate;West;0,422882427
142697;691;36;4,53;46007;95;35;4;1;Rent;Personal Loan;Fixed Rate;North;0,01000021
163647;693;24;3,39;71445;104;33;8;2;Mortgage;Auto Loan;Fixed Rate;North;0,656871192
95053;714;60;5,77;82527;88;13;6;1;Rent;Home Improvement;Fixed Rate;North;0,43450496
12137;712;72;7,67;41945;51;29;6;0;Rent;Personal Loan;Fixed Rate;South;0,009969515
187807;650;72;6,5;58885;57;29;9;1;Mortgage;Home Purchase;Fixed Rate;West;0,009999627
100862;645;60;3,37;69033;93;41;5;0;Mortgage;Debt Consolidation;Adjustable Rate;East;0,068360731
195542;646;48;5,36;57009;78;33;3;0;Own;Home Purchase;Adjustable Rate;South;0,009997852
183021;608;48;6,09;66535;89;23;8;1;Own;Debt Consolidation;Adjustable Rate;North;0,009998853
143553;719;24;4,97;91955;82;27;2;1;Rent;Debt Consolidation;Adjustable Rate;South;0,096424317
241401;657;72;6,14;61833;71;32;8;0;Mortgage;Personal Loan;Fixed Rate;South;0,278785092
183798;695;24;4,12;44245;88;18;7;0;Rent;Auto Loan;Adjustable Rate;East;0,010000109
132402;770;48;6,55;70946;93;29;5;1;Mortgage;Home Purchase;Adjustable Rate;North;1
231076;720;48;6,92;76767;79;33;5;1;Own;Auto Loan;Fixed Rate;East;0,667611522
95587;698;36;4,96;52728;81;9;4;1;Rent;Home Purchase;Fixed Rate;West;0,01000136
23643;582;36;4,28;62696;77;41;7;2;Rent;Home Purchase;Fixed Rate;East;0,009981813
132143;698;72;7,41;62197;67;25;5;0;Rent;Home Purchase;Fixed Rate;West;0,071218301
197399;783;24;4,92;33946;70;38;6;2;Rent;Home Improvement;Adjustable Rate;West;0,320736174
171844;695;24;5,19;61290;63;20;2;2;Rent;Personal Loan;Fixed Rate;West;0,00999744
136414;673;60;4,58;60908;69;45;4;2;Own;Home Improvement;Fixed Rate;North;0,307116572
184968;661;48;6,85;41415;79;2;6;2;Mortgage;Home Improvement;Adjustable Rate;North;0,01000173
111099;719;24;5,84;65050;87;28;5;1;Rent;Personal Loan;Adjustable Rate;South;0,047489176
90682;713;24;5,35;76565;73;27;4;1;Mortgage;Auto Loan;Fixed Rate;West;0,010001985
122081;703;72;6,81;55212;81;20;5;2;Own;Debt Consolidation;Fixed Rate;East;0,445540256
113201;606;48;4,54;47045;87;9;4;0;Own;Auto Loan;Fixed Rate;North;0,009999912
98740;729;60;8,24;49144;97;43;7;2;Own;Home Improvement;Adjustable Rate;South;1
141805;646;72;5,22;43655;87;26;2;2;Own;Personal Loan;Fixed Rate;North;0,009999647
212552;679;24;7,9;42844;77;22;5;2;Own;Home Improvement;Adjustable Rate;East;0,010002258
134137;745;72;7,36;95122;95;28;3;1;Own;Home Improvement;Fixed Rate;West;1
103953;753;60;6,43;77373;80;46;7;0;Own;Debt Consolidation;Adjustable Rate;West;0,968100969
123109;762;24;8,48;56206;75;7;5;0;Own;Auto Loan;Adjustable Rate;North;0,009999269
138782;709;60;5,5;104877;77;30;6;1;Rent;Personal Loan;Adjustable Rate;South;0,836383681
177867;714;72;7,79;50343;71;35;6;2;Own;Debt Consolidation;Adjustable Rate;North;0,778519905
188942;620;36;4,1;73399;74;45;5;2;Mortgage;Home Improvement;Fixed Rate;North;0,108874681
238328;716;60;4,42;72281;82;52;4;0;Own;Home Improvement;Adjustable Rate;North;0,786546272
121759;679;48;6,22;19449;74;22;6;2;Mortgage;Personal Loan;Adjustable Rate;North;0,010003367
175368;633;24;5,78;80701;83;28;3;2;Mortgage;Auto Loan;Fixed Rate;West;0,010001825
140612;636;60;10,11;36293;85;13;4;0;Mortgage;Debt Consolidation;Adjustable Rate;North;0,009999147
99845;780;48;5,71;82996;85;23;3;0;Rent;Home Improvement;Adjustable Rate;South;0,494035755
150101;726;48;7,16;67351;76;16;5;1;Own;Debt Consolidation;Adjustable Rate;West;0,129506133
39547;695;48;10,68;52240;70;13;4;2;Rent;Debt Consolidation;Adjustable Rate;West;0,009988115
130401;645;72;6,33;53060;82;31;2;2;Mortgage;Auto Loan;Fixed Rate;South;0,116279783
145535;670;60;4,82;67870;73;42;6;2;Mortgage;Home Improvement;Adjustable Rate;North;0,512247913
136160;753;60;4,01;86390;75;31;2;0;Rent;Personal Loan;Fixed Rate;East;0,340158637
113085;757;36;6,22;26353;84;22;0;1;Mortgage;Home Purchase;Adjustable Rate;West;0,010001326
173908;659;60;6,22;35699;77;9;5;0;Own;Debt Consolidation;Adjustable Rate;West;0,00999954
123644;743;36;5,08;85669;87;42;3;2;Rent;Home Improvement;Fixed Rate;West;0,953689625
107174;778;60;7,82;71552;81;45;5;0;Rent;Auto Loan;Adjustable Rate;North;1
149426;670;36;5,45;65749;82;34;4;2;Mortgage;Home Improvement;Fixed Rate;East;0,155856411
132952;704;24;5,94;61360;70;40;2;0;Mortgage;Debt Consolidation;Adjustable Rate;West;0,01000361
196102;683;36;5,86;52959;99;24;5;2;Mortgage;Auto Loan;Fixed Rate;South;0,261124313
172741;768;48;6,81;35365;63;49;5;1;Rent;Home Improvement;Adjustable Rate;South;0,521891155
205526;672;60;3,61;37953;91;28;5;0;Own;Home Improvement;Adjustable Rate;East;0,009998735
107298;749;60;3,85;49007;66;18;7;1;Mortgage;Debt Consolidation;Fixed Rate;West;0,010000186
123288;568;36;5,65;45242;64;32;7;2;Rent;Auto Loan;Adjustable Rate;South;0,010000973
142064;718;24;4,72;41125;74;46;5;1;Rent;Home Purchase;Fixed Rate;West;0,010002534
168933;750;48;6,23;74964;81;66;3;0;Own;Auto Loan;Adjustable Rate;West;1
231128;717;36;6,09;101151;80;24;7;0;Own;Debt Consolidation;Adjustable Rate;East;0,556842961
29724;693;60;5,47;52938;81;26;7;0;Own;Home Purchase;Adjustable Rate;South;0,009991926
101664;686;48;5,94;85075;84;27;3;0;Own;Debt Consolidation;Adjustable Rate;South;0,059027778
185289;648;72;8,89;60379;75;28;7;1;Rent;Personal Loan;Fixed Rate;East;0,244947083
160844;672;60;4,38;62171;91;22;3;1;Mortgage;Home Improvement;Fixed Rate;South;0,019895054
57305;672;72;4,95;70852;87;48;8;2;Rent;Auto Loan;Fixed Rate;West;1
84396;708;24;5,52;15056;71;18;4;2;Mortgage;Home Improvement;Adjustable Rate;East;0,010000474
91734;689;48;8,56;60442;74;41;7;1;Mortgage;Home Improvement;Adjustable Rate;West;0,474415157
123128;711;24;3,76;51016;77;39;6;1;Own;Personal Loan;Adjustable Rate;South;0,009997726
125243;668;48;7,05;102319;75;43;4;0;Own;Auto Loan;Fixed Rate;West;0,595043236
180530;729;60;6,07;83047;70;30;5;1;Rent;Home Improvement;Fixed Rate;West;0,599108181
223253;735;36;4,61;39614;81;32;7;2;Rent;Home Purchase;Adjustable Rate;West;0,208386897
164167;693;72;8,99;84217;71;24;0;1;Mortgage;Home Purchase;Fixed Rate;East;0,448963555
150171;715;48;6,03;50049;73;27;6;2;Rent;Debt Consolidation;Adjustable Rate;West;0,236876627
126992;707;48;6,66;28778;73;24;3;0;Mortgage;Personal Loan;Adjustable Rate;North;0,01000063
114613;708;72;6,17;82740;89;45;7;2;Own;Personal Loan;Fixed Rate;South;1
141901;718;36;4,27;76714;74;40;4;0;Mortgage;Debt Consolidation;Adjustable Rate;East;0,109174706
131446;712;72;6,88;31035;74;32;7;2;Own;Home Improvement;Fixed Rate;East;0,451113005
210955;559;48;5,07;47279;88;25;7;2;Mortgage;Personal Loan;Fixed Rate;East;0,010002133
224032;701;36;4,94;42832;90;49;5;0;Own;Home Purchase;Fixed Rate;North;0,212572311
95656;758;60;8,22;44692;89;15;5;0;Own;Personal Loan;Adjustable Rate;East;0,245327005
46756;666;60;4,69;41732;67;16;3;0;Mortgage;Home Improvement;Adjustable Rate;South;0,010009411
104379;742;60;6,76;73627;74;25;4;2;Own;Auto Loan;Adjustable Rate;West;0,66613016
50536;636;36;7,96;73033;76;15;2;1;Own;Debt Consolidation;Adjustable Rate;South;0,009992876
194757;747;72;7,43;46395;77;38;6;1;Rent;Home Improvement;Adjustable Rate;South;0,898139733
190548;645;24;4,04;73220;76;38;5;2;Own;Auto Loan;Fixed Rate;North;0,009997481
189819;718;48;8,1;68147;76;39;5;1;Mortgage;Personal Loan;Adjustable Rate;West;0,666708812
188132;702;24;3,68;54492;73;22;6;1;Rent;Personal Loan;Fixed Rate;South;0,009998299
183495;766;24;5,58;61410;98;44;5;1;Own;Personal Loan;Adjustable Rate;West;0,773519714
215500;710;48;5,66;79385;77;20;5;2;Mortgage;Debt Consolidation;Adjustable Rate;North;0,449689095
158896;677;48;6,8;63162;89;21;6;1;Own;Home Improvement;Fixed Rate;North;0,126667758
169901;741;60;4,38;45876;100;24;7;0;Own;Debt Consolidation;Adjustable Rate;West;0,378432146
138882;689;24;6,47;64893;89;17;3;2;Rent;Home Improvement;Adjustable Rate;West;0,010001296
187101;632;48;3,62;50331;87;31;3;0;Own;Home Purchase;Adjustable Rate;West;0,009999947
29712;752;36;6,46;92113;79;50;8;0;Mortgage;Home Purchase;Adjustable Rate;East;0,949178783
187127;747;72;5,61;63998;63;42;6;0;Own;Personal Loan;Fixed Rate;North;0,666039642
188699;665;36;5,76;54199;93;30;3;1;Own;Debt Consolidation;Fixed Rate;South;0,010000053
240351;777;36;3,17;39755;76;41;6;1;Rent;Personal Loan;Adjustable Rate;South;0,239033746
80767;734;48;6,85;47500;76;34;9;2;Mortgage;Auto Loan;Adjustable Rate;North;0,548875159
159400;721;72;7,41;71490;93;45;2;0;Mortgage;Debt Consolidation;Adjustable Rate;North;0,972264743
140452;731;60;6,07;28448;95;20;5;1;Mortgage;Home Purchase;Fixed Rate;West;0,09156153
74130;722;36;5,47;78929;64;23;3;2;Mortgage;Home Improvement;Fixed Rate;East;0,009995953
212217;657;24;6,09;58838;83;36;3;0;Own;Home Improvement;Fixed Rate;North;0,009999199
172124;684;72;7,52;67427;84;28;7;0;Own;Auto Loan;Fixed Rate;West;0,489635379
187424;659;60;3,53;26995;73;35;5;1;Mortgage;Home Purchase;Adjustable Rate;North;0,009998719
58202;622;48;2,95;31005;78;6;6;0;Own;Personal Loan;Fixed Rate;North;0,009999656
95192;699;48;8,32;61484;75;28;2;2;Mortgage;Home Purchase;Adjustable Rate;East;0,171421968
123994;811;36;5,59;74056;101;1;5;1;Rent;Auto Loan;Adjustable Rate;West;0,450304047
126131;785;36;7,68;52428;66;11;5;2;Mortgage;Auto Loan;Fixed Rate;South;0,078473968
43931;754;48;6,9;57470;95;28;7;0;Own;Personal Loan;Adjustable Rate;North;0,472126744
110422;683;48;6,33;80262;61;30;5;0;Rent;Home Purchase;Fixed Rate;East;0,009998008
141561;655;36;8,07;99339;76;23;2;0;Rent;Debt Consolidation;Adjustable Rate;East;0,010002755
130504;773;72;4,34;88352;90;27;5;2;Own;Home Purchase;Fixed Rate;East;1
164480;724;72;6,35;72501;77;33;5;2;Mortgage;Personal Loan;Adjustable Rate;West;1
132444;682;24;3,9;63505;90;32;6;2;Rent;Home Improvement;Fixed Rate;East;0,043482528
82561;756;24;9,47;77112;69;31;3;0;Mortgage;Personal Loan;Adjustable Rate;North;0,187412943
145349;639;48;4,94;57711;95;35;3;2;Own;Personal Loan;Fixed Rate;South;0,014496144
168483;689;24;5,54;64626;97;21;7;2;Own;Debt Consolidation;Fixed Rate;North;0,213647668
130361;768;36;6,94;49090;84;23;6;1;Rent;Personal Loan;Fixed Rate;South;0,266260615
157563;690;24;8,62;59943;88;32;8;2;Mortgage;Personal Loan;Fixed Rate;East;0,389590196
297249;820;24;8,36;73668;69;20;5;2;Own;Home Purchase;Fixed Rate;South;1
231441;791;48;4,77;100218;86;45;4;0;Own;Debt Consolidation;Adjustable Rate;North;1
132679;672;72;4,07;74850;93;45;5;2;Own;Debt Consolidation;Adjustable Rate;South;1
99062;709;60;7,92;39070;80;30;3;2;Own;Debt Consolidation;Adjustable Rate;West;0,299903091
156733;767;36;5,09;83647;80;31;2;1;Own;Debt Consolidation;Fixed Rate;East;0,519641684
142965;766;60;7,52;40985;76;1;1;1;Mortgage;Auto Loan;Adjustable Rate;South;0,010002448
136951;669;48;5,79;76251;72;30;3;2;Own;Personal Loan;Fixed Rate;East;0,162160189
190852;765;60;8,34;50568;78;33;6;2;Own;Auto Loan;Adjustable Rate;West;1
153688;745;60;8,4;13198;74;34;6;1;Rent;Auto Loan;Adjustable Rate;East;0,206320598
179911;646;48;7,6;41264;80;32;5;1;Rent;Personal Loan;Adjustable Rate;South;0,009999389
157483;678;60;8,22;31875;91;49;5;1;Mortgage;Personal Loan;Adjustable Rate;East;0,58767613
286004;682;48;5,32;47692;69;45;6;0;Rent;Debt Consolidation;Adjustable Rate;West;0,115438945
69311;773;60;4,91;85487;85;23;3;2;Rent;Home Improvement;Adjustable Rate;South;0,910750097
226150;597;24;3,53;45654;79;31;8;1;Rent;Home Purchase;Fixed Rate;North;0,010002211
30749;754;48;8;68291;84;39;4;2;Mortgage;Auto Loan;Adjustable Rate;South;0,934924713
195836;787;24;8,29;63045;74;36;6;1;Own;Home Improvement;Fixed Rate;North;0,771170776
95765;791;48;4,04;27333;85;30;1;1;Mortgage;Debt Consolidation;Adjustable Rate;East;0,010003655
159177;661;36;5,61;63684;80;36;6;2;Mortgage;Auto Loan;Fixed Rate;West;0,238866168
242440;675;36;6,55;45718;80;20;5;0;Own;Personal Loan;Adjustable Rate;North;0,00999835
169947;751;36;6,84;49592;85;30;6;2;Own;Debt Consolidation;Adjustable Rate;North;0,550612838
194598;739;48;8,48;79918;70;42;5;1;Rent;Auto Loan;Fixed Rate;North;0,987312305
211575;683;48;7,08;74693;79;17;4;2;Rent;Auto Loan;Adjustable Rate;West;0,285232187
148829;640;48;5,71;52142;70;32;2;2;Own;Debt Consolidation;Fixed Rate;North;0,009998051
112590;668;36;6,53;71508;90;35;5;2;Own;Home Purchase;Fixed Rate;West;0,386508571
157440;758;72;8,76;41557;87;24;6;2;Mortgage;Home Improvement;Fixed Rate;North;0,997884909
171907;694;36;5,82;7220;78;21;6;0;Own;Home Improvement;Fixed Rate;East;0,009999593
169183;759;60;6,75;91660;74;44;5;1;Own;Home Improvement;Fixed Rate;North;1
227457;741;48;10,44;68600;73;29;5;0;Own;Personal Loan;Adjustable Rate;South;0,562027108
113671;705;60;6,06;75584;83;24;4;2;Rent;Home Improvement;Adjustable Rate;West;0,493195274
198760;744;60;9,2;71731;78;51;6;0;Mortgage;Home Purchase;Adjustable Rate;East;1
85761;670;72;4,79;67824;84;17;3;2;Rent;Personal Loan;Adjustable Rate;East;0,078800387
255209;705;24;5,34;40278;73;20;5;1;Own;Personal Loan;Adjustable Rate;East;0,009999647
161363;680;72;6,45;69157;94;21;8;1;Mortgage;Home Improvement;Fixed Rate;North;0,651004257
93542;689;48;6,87;36016;62;25;2;1;Mortgage;Personal Loan;Adjustable Rate;West;0,00999551
135933;642;60;5,79;65700;83;27;4;1;Mortgage;Debt Consolidation;Adjustable Rate;West;0,009997572
113029;658;48;5,25;58156;72;31;4;0;Mortgage;Home Improvement;Adjustable Rate;West;0,009997434
20784;660;36;4,99;81392;65;29;4;2;Mortgage;Auto Loan;Adjustable Rate;West;0,010007698
91168;689;48;6,05;45722;76;31;6;2;Own;Home Improvement;Fixed Rate;North;0,0185043
198560;736;24;6,34;53340;84;28;3;2;Mortgage;Home Purchase;Fixed Rate;East;0,24445004
87999;731;72;6,76;51218;77;35;7;0;Own;Auto Loan;Fixed Rate;South;0,419311583
183929;760;60;5,67;92930;70;34;5;0;Mortgage;Home Purchase;Adjustable Rate;North;0,881932702
189030;706;72;8,76;67090;73;19;6;1;Own;Personal Loan;Adjustable Rate;South;0,498756811
196551;692;36;4,83;47057;65;29;7;0;Mortgage;Home Purchase;Adjustable Rate;North;0,010002493
161540;648;48;5,05;53865;86;27;5;0;Mortgage;Home Purchase;Fixed Rate;North;0,009997524
102391;704;24;6,32;58316;93;34;5;0;Rent;Home Purchase;Fixed Rate;North;0,010000879
97153;690;60;6,84;70871;74;29;5;1;Rent;Home Purchase;Fixed Rate;South;0,234629914
150505;677;36;4,76;31116;93;34;4;2;Mortgage;Personal Loan;Adjustable Rate;North;0,009999668
214541;740;48;6,31;65884;84;31;5;2;Mortgage;Auto Loan;Fixed Rate;West;0,835597858
192172;714;72;7,18;44181;75;22;3;1;Rent;Debt Consolidation;Fixed Rate;East;0,098318173
98429;670;60;8,71;68639;86;28;5;2;Own;Home Purchase;Fixed Rate;East;0,599071412
80914;694;36;5,12;85074;79;43;4;0;Own;Personal Loan;Adjustable Rate;North;0,145018167
147146;699;48;5,26;50726;86;32;6;0;Own;Home Improvement;Adjustable Rate;South;0,009996874
170490;733;60;7,67;53519;102;44;7;1;Mortgage;Home Improvement;Adjustable Rate;North;1
186143;687;24;9,17;22580;77;23;3;2;Own;Auto Loan;Adjustable Rate;West;0,00999769
141903;646;60;7,89;44308;83;36;4;1;Own;Home Improvement;Fixed Rate;East;0,046116009
144360;717;36;4,77;35564;89;25;5;1;Own;Auto Loan;Fixed Rate;West;0,010002771
81973;661;48;1,32;76646;72;16;7;2;Own;Auto Loan;Fixed Rate;North;0,010003294
234799;770;36;10,2;55408;92;35;8;2;Own;Personal Loan;Adjustable Rate;South;1
144904;679;60;8,94;51894;81;9;5;1;Mortgage;Home Improvement;Adjustable Rate;West;0,009999724
204287;718;60;7,73;73494;82;18;5;2;Own;Personal Loan;Fixed Rate;East;0,713530474
140347;779;60;8;81246;70;27;5;1;Mortgage;Home Improvement;Adjustable Rate;West;0,890827734
175652;777;48;6,94;46626;88;26;6;1;Rent;Home Improvement;Fixed Rate;West;0,643681825
160133;765;48;8,25;84218;85;25;1;1;Rent;Home Improvement;Fixed Rate;West;0,763821324
189093;711;60;5,91;71405;79;29;7;1;Mortgage;Personal Loan;Adjustable Rate;East;0,638680438
120220;761;36;4,14;30260;93;44;8;1;Own;Debt Consolidation;Fixed Rate;East;0,542788222
159695;761;60;6,41;54798;67;21;3;1;Mortgage;Debt Consolidation;Adjustable Rate;West;0,109095463
137694;679;36;5,47;40755;71;34;4;2;Own;Auto Loan;Adjustable Rate;East;0,010000436
135235;716;24;5,53;44751;104;36;4;1;Own;Home Purchase;Adjustable Rate;West;0,192768144
205125;627;48;4,95;23991;66;34;5;0;Mortgage;Auto Loan;Adjustable Rate;West;0,009998781
172096;696;36;5,88;56969;64;54;7;2;Rent;Home Improvement;Fixed Rate;West;0,49607196
91074;727;24;5,95;78030;61;31;3;1;Mortgage;Debt Consolidation;Fixed Rate;West;0,010002855
143298;763;36;4,88;14121;97;35;3;0;Rent;Home Purchase;Fixed Rate;East;0,01000014
131207;758;60;6,49;51406;88;52;3;2;Mortgage;Home Purchase;Fixed Rate;East;1
155828;669;72;4,46;17867;70;45;5;0;Own;Auto Loan;Adjustable Rate;West;0,009998203
93151;719;24;8,14;72409;83;27;5;2;Mortgage;Auto Loan;Fixed Rate;East;0,359910253
198615;723;72;7,1;19580;70;44;4;2;Mortgage;Personal Loan;Fixed Rate;North;0,550789215
158498;766;72;6,98;82132;71;34;4;0;Rent;Home Improvement;Fixed Rate;East;0,965904933
92512;663;24;3,22;38444;74;36;5;1;Mortgage;Home Improvement;Adjustable Rate;East;0,009998703
122112;738;72;6,59;43430;81;26;3;1;Rent;Debt Consolidation;Adjustable Rate;East;0,34754979
271628;679;24;5,2;46423;71;21;4;2;Own;Debt Consolidation;Fixed Rate;North;0,009998969
251503;716;36;6,91;81899;73;26;2;2;Mortgage;Home Improvement;Fixed Rate;West;0,392428719
165861;616;36;5,36;60619;80;25;2;1;Rent;Debt Consolidation;Adjustable Rate;South;0,010002351
202103;763;36;6,31;62481;66;32;8;0;Rent;Home Improvement;Adjustable Rate;South;0,29845178
219850;812;60;5,11;48744;97;37;7;2;Mortgage;Home Improvement;Fixed Rate;North;1
80698;707;24;5,54;76937;95;19;4;2;Rent;Auto Loan;Adjustable Rate;West;0,16616273
183782;755;24;3,84;41371;86;37;7;1;Rent;Auto Loan;Adjustable Rate;South;0,15877507
139560;691;60;6,05;52053;98;11;9;0;Mortgage;Home Purchase;Adjustable Rate;South;0,010002866
152081;643;60;5,71;83893;87;33;7;1;Own;Debt Consolidation;Fixed Rate;West;0,470519
131760;676;60;5,92;71540;82;21;7;1;Rent;Debt Consolidation;Fixed Rate;West;0,224741955
80867;696;36;5,07;36168;87;21;4;1;Rent;Personal Loan;Fixed Rate;South;0,010004081
151636;672;72;5,53;64216;84;40;4;0;Mortgage;Auto Loan;Adjustable Rate;South;0,3485452
63498;734;48;6,07;61688;60;38;9;0;Rent;Auto Loan;Fixed Rate;West;0,143437589
119398;739;36;7,62;45748;72;27;2;2;Mortgage;Debt Consolidation;Adjustable Rate;North;0,010000168
208293;783;24;5,92;52406;63;33;1;0;Own;Debt Consolidation;Fixed Rate;South;0,010000336
189244;752;72;6,9;69600;102;10;5;2;Rent;Home Improvement;Fixed Rate;West;1
123331;723;36;11,29;78070;79;36;5;1;Rent;Debt Consolidation;Fixed Rate;West;0,817474925
218510;618;24;3,62;72271;77;23;6;2;Rent;Debt Consolidation;Adjustable Rate;North;0,009999542
119680;690;36;6,5;70592;86;4;7;2;Mortgage;Debt Consolidation;Fixed Rate;North;0,010001671
104566;808;24;7,6;62246;74;35;6;2;Rent;Debt Consolidation;Fixed Rate;South;0,866715758
264244;661;60;6,84;46906;67;36;6;2;Rent;Home Improvement;Adjustable Rate;East;0,152885212
184415;686;72;8,01;64634;72;36;5;2;Rent;Personal Loan;Adjustable Rate;South;0,812081447
183120;724;24;5,34;31032;68;35;2;0;Mortgage;Auto Loan;Fixed Rate;West;0,009998908
194445;608;72;5,32;29347;88;29;4;2;Rent;Personal Loan;Adjustable Rate;West;0,009997686
177219;690;24;6,9;97067;70;29;3;2;Rent;Home Purchase;Adjustable Rate;North;0,30981441
113674;696;36;4,62;94125;78;26;4;2;Mortgage;Personal Loan;Adjustable Rate;East;0,309243978
115653;647;60;6,92;60782;72;37;9;2;Mortgage;Home Improvement;Adjustable Rate;East;0,426646953
166795;658;60;3,41;63756;63;45;1;2;Rent;Auto Loan;Fixed Rate;North;0,019658863
174425;777;24;4,96;57403;69;49;4;2;Rent;Home Purchase;Fixed Rate;North;0,563973054
196076;681;24;9,26;21599;78;31;6;2;Rent;Home Purchase;Fixed Rate;South;0,010001224
144518;626;72;5,1;67373;80;13;3;2;Mortgage;Auto Loan;Adjustable Rate;North;0,009998754
242398;710;72;7,15;67161;83;40;8;0;Rent;Home Purchase;Fixed Rate;North;1
83742;682;48;5,55;15800;81;30;6;2;Mortgage;Personal Loan;Fixed Rate;North;0,009994985
246507;694;24;9,29;88936;79;30;0;2;Mortgage;Personal Loan;Adjustable Rate;North;0,40971656
220165;639;24;5,74;65560;80;28;5;1;Rent;Debt Consolidation;Fixed Rate;North;0,01000159
166345;760;24;6,28;45905;79;34;1;2;Mortgage;Personal Loan;Fixed Rate;North;0,203781298
165346;765;48;6,78;46072;80;42;6;0;Rent;Home Purchase;Fixed Rate;West;0,543291038
137743;746;36;3,85;32198;89;29;8;0;Own;Personal Loan;Adjustable Rate;North;0,009996878
109151;662;24;5,76;60379;86;29;7;2;Own;Personal Loan;Fixed Rate;South;0,010004489
127515;634;60;6,1;56102;86;33;8;1;Rent;Auto Loan;Fixed Rate;West;0,051397875
170325;718;48;5,5;47193;64;39;7;1;Rent;Debt Consolidation;Adjustable Rate;North;0,173409658
262035;714;72;8,61;89623;84;24;4;0;Rent;Home Improvement;Adjustable Rate;North;0,870731009
194272;797;24;5,33;66558;77;33;2;0;Rent;Personal Loan;Fixed Rate;North;0,147612626
77993;628;60;5,88;68159;84;17;7;2;Rent;Debt Consolidation;Fixed Rate;South;0,010000898
100113;696;60;7,85;40292;70;25;6;0;Rent;Home Improvement;Fixed Rate;South;0,009998701
197022;702;60;7,64;90233;104;38;7;1;Rent;Auto Loan;Fixed Rate;North;1
151384;739;48;4,87;138719;86;39;4;0;Own;Home Purchase;Adjustable Rate;North;1
98514;675;60;7,39;54362;74;33;3;0;Mortgage;Personal Loan;Fixed Rate;South;0,009998579
102040;619;72;7,23;57156;85;16;4;0;Rent;Debt Consolidation;Adjustable Rate;West;0,00999608
90448;705;48;5,9;7142;83;27;2;1;Mortgage;Personal Loan;Adjustable Rate;South;0,009994693
237776;734;48;7,4;71184;67;30;8;0;Mortgage;Home Purchase;Adjustable Rate;North;0,505467331
147710;745;36;5,5;72347;67;27;4;0;Mortgage;Personal Loan;Fixed Rate;West;0,009999323
149231;665;24;8,43;79825;76;27;6;0;Mortgage;Home Purchase;Fixed Rate;West;0,009997923
132880;689;48;9,21;55248;71;53;5;0;Mortgage;Personal Loan;Fixed Rate;South;0,365856412
119877;684;48;7,89;87182;73;27;5;0;Rent;Home Improvement;Fixed Rate;East;0,168622838
74619;699;60;6,12;80178;91;21;6;2;Rent;Home Purchase;Adjustable Rate;South;0,671008724
165841;757;60;6,08;68675;94;19;8;0;Rent;Personal Loan;Fixed Rate;North;0,786476203
214949;732;48;3,78;61520;101;46;4;2;Own;Debt Consolidation;Adjustable Rate;North;0,950927895
